sample_name,include,habitat_depth_level1,habitat_act_collection,observed_otus,shannon,chao1,ph_cells_per_g_log,PD_whole_tree,goods_coverage,ph_cells_per_g,ph_cells_per_g_log,ph_cells_per_mg,ph_extrapolated_cells_per_60ul_total,ph_extrapolated_cells_per_extra_ln,ph_extrapolated_cells_per_pcr_total,ph_log_reads,ph_r1150,ph_reads_per_mg,ph_total_reads,altitude,anonymized_name,bile_sample,biomass_even,biomass_quartile,climate,collection_substrate,collection_timestamp,collection_year,common_name,condition_factor,conservation_status,control,control_2,control_cell_into_extraction,control_org,depth_high_range_m,depth_low_range_m,depth_m,description,diet,diet_reference,dist_to_dorsal_cm,distance_from_shore_m,distance_from_shore_m_log,dna_extracted,dnaplate_column,dnaplate_row,dnaplate_well_id,elevation,empo_1,empo_2,empo_3,env,env0,env_biome,env_feature,env_material,env_package,evo_distanceto_mackerel_median_mya,evo_timetree_species_name,extraction_cleanup,extraction_date,extraction_lot,extraction_mass_g,extraction_notes,extraction_notes_gill,extraction_plate_name,fish_collection_method,fl_cm,fmp_number,gamma_include,gape_cm,general_location,geo_loc_name,gi_cm,hab_notes,hab_sum,habitat_act_collection,habitat_be,habitat_cp,habitat_depth_level1,habitat_depth_level2,habitat_drf,habitat_dslp,habitat_is,habitat_kbrf,habitat_mdrf,habitat_ms,habitat_os,habitat_p,habitat_ref,habitat_rit,habitat_rst,habitat_sslp,habitat_sz,host_age,host_age_units,host_body_habitat,host_body_mass_index,host_body_product,host_body_site,host_common_name,host_common_name_,host_height,host_height_units,host_life_stage,host_scientific_name,host_subject_id,host_taxid,host_weight,host_weight_units,include_st,latitude,longitude,mass_g,mass_g_log,max_age,max_kg_grams,max_tl_cm,method_gear,month,name,notes,notes_on_dissection,num_order,number_db,ocean_basin,p_class,p_fam_common,p_family,p_genus,p_genus_species,p_order,pcr_order,physical_specimen_location,physical_specimen_remaining,prey_annelids,prey_arthropods,prey_echinoderms,prey_invertebrate,prey_large_fish,prey_mollusks,prey_phytoplankton_algae,prey_shark_marine_mammal,prey_small_fish,prey_zooplankton,primer_plate,qiita_study_id,radii,ratio_dorsal_to_tl,ratio_gape_to_tl,ratio_gi_to_tl,reproductive_process,salinity_tolerance,salinity_tolerance_migration,sample_type,sample_type_2,sample_type_descriptive,sample_types,scientific_name,sd_or_la,season,sex,sjbg_gill,sjbg_gill_direction,sjbg_gill_number,sjbg_gill_orientation,sjbg_gill_sample,sjbg_gill_tissue,sjbg_gill_type,sourcesink,substrata_collection,substrata_group,swim_acceleration,swim_endurance,swim_mode,swim_performance,taxon_id,title,title_fmp_core,tl_cm,trophic,trophic_likely,type_habitat_nonbay_bol,total_reads,log_total_reads,estimated_biomass_per_pcrrxn,estimated_biomass_per_dnarxn,estimated_cells_per_g,log_estimated_cells_per_g
13414.47.gill,1,shallow,BE,309,6.229392485,382.0263158,4.689384013,31.61804241,0.993792932,48981,4.690027647,49,25421,3.326011546,2118,4.085219201,1,23445,12168,Not applicable,47.gill,TRUE,2,2,subtropical,soft bottom,6/4/19,2019,hallers round ray,1.0749,LC,0,0,,0,91,0,3,47.gill,"benthic invertebrates, small fish",fishbase.org,Missing: not collected,160,2.204119983,TRUE,6,g,g6,0,Host-associated,Animal,Animal corpus,47gill,gill,marine biome,animal-associated habitat,organic material,host-associated,465,Urolophus halleri,clearmag beads KF,9/14/20,PS16L1,0.519,,WG,FMP101_P4_gill_1.88,HSW gillnet survey,30.6,47,1,1.1,mission bay site 1,USA:CA:San Diego,16.5,,1,BE,1,0,shallow,neritic,0,0,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,1.074945478,UBERON:mucus,UBERON:gill,haller's round ray,round ray,30.6,cm,Missing: not collected,Urolophus halleri,FMP_47,86675,308,grams,1,32.789805,-117.248309,308,2.488550717,,1.4,58,gillnet,6,47.gill,,not sure about lat long,623,377,Eastern Pacific,Chondrichthyes,American round stingrays,Urotrygonidae,Urolophus,Urolophus halleri,Myliobatiformes,719,SIO,Missing: not collected,,,,1,,,,,1,,8,13414,,nan,0.035947712,0.539215686,ovoviviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Urolophus halleri,336,spring,M,,,,,,,,sink,sandy mud bottom,soft bottom,2,2,Rajiform,flow refuging,86675,FMP101,1,30.6,3,3,FALSE,12515,4.097430854,2115.291017,25383.4922,48908.46281,4.689384013
13414.48.gill,1,shallow,BE,309,2.133897022,314.9464286,6.572632163,28.69365781,0.999097297,3694944,6.567607861,3695,1777268,5.170571731,148106,4.612688513,1,85220,40991,Not applicable,48.gill,FALSE,3,4,subtropical,soft bottom,6/4/19,2019,specklefin midshipman,1.1719,LC,0,0,,0,126,0,3,48.gill,"fish, octopus, crustacean",https://biogeodb.stri.si.edu/sftep/en/thefishes/species/4655,13.2,100,2,TRUE,6,h,h6,0,Host-associated,Animal,Animal corpus,48gill,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Porichthys plectrodon,clearmag beads KF,9/14/20,PS16L1,0.481,,PG,FMP101_P4_gill_1.88,HSW gillnet survey,44,48,0,3.5,mission bay site 3,USA:CA:San Diego,56.5,"bay, rocky, soft bottom,",2,BE,1,0,shallow,intertidal,0,0,1,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,1.171911111,UBERON:mucus,UBERON:gill,specklefin  midshipman,specklefin midshipman,37.5,cm,Missing: not collected,Porichthys myriaster,FMP_48,262771,618,grams,1,32.776937,-117.243164,618,2.790988475,,,51,gillnet,6,48.gill,,not sure about lat long,624,312,Eastern Pacific,Actinopterygii,toadfishes,Batrachoididae,Porichthys,Porichthys myriaster,Batrachoidiformes,720,SIO,Missing: not collected,,1,,1,,1,,,1,,8,13414,,0.352,0.093333333,1.506666667,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Porichthys myriaster_,271,spring,M,,,,,,,,sink,sandy mud bottom,soft bottom,1,3,Labriform,generalist,262771,FMP101,1,37.5,3,3,FALSE,42266,4.625991149,149829.0389,1797948.467,3737938.601,6.572632163
13414.51.gill,1,shallow,BE,58,1.98007889,60,7.059950888,13.01724674,0.999820863,11421490,7.057722764,11421,3620612,5.479600788,301718,4.701058275,1,158489,50241,Not applicable,51.gill,TRUE,3,4,subtropical,soft bottom,5/17/19,2019,california lizardfish,0.5408,LC,0,0,,0,229,1,3,51.gill,fish,fishbase.org,11.4,78,1.892094603,TRUE,7,c,c7,0,Host-associated,Animal,Animal corpus,51gill,gill,marine biome,animal-associated habitat,organic material,host-associated,154,Synodus foetens,clearmag beads KF,9/14/20,PS16L1,0.317,,WG,FMP101_P4_gill_1.88,hook and line,29.5,51,1,3.5,mission bay,USA:CA:San Diego,34.5,,1,BE,0,0,shallow,neritic,0,0,1,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.540760471,UBERON:mucus,UBERON:gill,California lizardfish,CA lizardfish,30.8,cm,Missing: not collected,Synodus lucioceps,FMP_51,320415,158,grams,1,32.769349,-117.227735,158,2.198657087,,,64,rod and reel,5,51.gill,,,627,233,Eastern Pacific,Actinopterygii,lizardifishes,Synodontidae,Synodus,Synodus lucioceps,Aulopiformes,723,SIO,Missing: not collected,,,,,1,,,,1,,8,13414,,0.37012987,0.113636364,1.12012987,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Synodus lucioceps,193,spring,Unknown,,,,,,,,sink,sandy mud bottom,soft bottom,3,1,Esociform,accelerator,320415,FMP101,1,30.8,4,4,TRUE,51698,4.713473742,303269.6182,3639235.418,11480237.91,7.059950888
13414.59.gill,1,shallow,BE,163,3.062162674,175.5,5.211142129,23.6912081,0.998210352,163744,5.214165395,164,48468,3.606274588,4039,4.165363051,1,49439,14634,Not applicable,59.gill,TRUE,2,3,subtropical,soft bottom,6/4/19,2019,thresher shark,Missing: not collected,VU,0,0,,0,550,0,3,59.gill,forage fish,fishbase.org,Missing: not collected,160,2.204119983,TRUE,8,c,c8,0,Host-associated,Animal,Animal corpus,59gill,gill,marine biome,animal-associated habitat,organic material,host-associated,465,Carcharias taurus,clearmag beads KF,9/14/20,PS16L1,0.296,,PG,FMP101_P4_gill_1.88,HSW gillnet survey,Missing: not collected,59,1,Missing: not collected,MB site 1,USA:CA:San Diego,Missing: not collected,,1,BE,0,0,shallow,neritic,0,0,0,0,0,0,0,1,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,#VALUE!,UBERON:mucus,UBERON:gill,thresher shark,thresher shark,Missing: not collected,cm,Missing: not collected,Alopias vulpinus,FMP_59,7852,Missing: not collected,grams,1,32.789805,-117.248309,Missing: not collected,#VALUE!,25,348,760,gillnet,6,59.gill,,,635,249,Eastern Pacific,Chondrichthyes,thresher sharks,Alopiidae,Alopias,Alopias vulpinus,Lamniformes,731,SIO,Missing: not collected,,,,,,,,,1,,8,13414,,nan,nan,nan,viviparous,marine,oceanodromous,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Alopias vulpinus,208,spring,Unknown,,,,,,,,sink,sandy mud bottom,pelagic,2,3,Carcharhiniform,crusier sprinter,7852,FMP101,1,Missing: not collected,3,3,TRUE,15025,4.176814481,4010.999372,48131.99247,162608.0827,5.211142129
13414.67.gill,1,shallow,BE,19,2.891902076,29,1.522052573,2.778854034,0.996953077,3,0.477121255,0,23,0.283234708,2,3.215108581,1,2399,1641,Not applicable,67.gill,TRUE,1,1,subtropical,soft bottom,8/6/20,2020,california butterfly ray,2.6762,LC,0,0,,0,94,1,1,67.gill,"bony fish, crustacean",https://biogeodb.stri.si.edu/sftep/en/thefishes/species/254,Missing: not collected,3,0.477121255,TRUE,9,c,c9,0,Host-associated,Animal,Animal corpus,67gill,gill,marine biome,animal-associated habitat,organic material,host-associated,465,Gymnura,clearmag beads KF,9/14/20,PS16L1,0.684,,WG,FMP101_P4_gill_1.88,hook and line,23.4,67,1,1.4,bonita cove,USA:CA:San Diego,20.2,"mud, sand, ",2,BE,1,0,shallow,intertidal,0,0,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,1,Missing: not collected,Missing: not collected,UBERON:respiratory system,2.676208298,UBERON:mucus,UBERON:gill,california butterfly ray,CA butterfly ray,23.4,cm,Missing: not collected,Gymnura marmorata,FMP_67,86361,342.9,grams,1,32.769915,-117.248336,342.9,2.535167485,,,100,rod and reel,8,67.gill,,,643,456,Eastern Pacific,Chondrichthyes,butterfly rays,Gymnuridae,Gymnura,Gymnura marmorata,Myliobatiformes,739,SIO,Missing: not collected,,1,,1,,,,,1,,8,13414,,nan,0.05982906,0.863247863,ovoviviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Gymnura marmorata,408,summer,M,,,,,,,,sink,sandy bottom (mud),soft bottom,2,2,Rajiform,flow refuging,86361,FMP101,1,23.4,3,3,FALSE,1686,3.22685757,1.896389003,22.75666804,33.26998251,1.522052573
13414.68.gill,1,shallow,BE,41,1.879169794,41.46153846,5.486201584,5.391665989,0.999764443,25364,4.404217745,25,81572,3.83236039,6798,4.23001441,1,63369,16983,Not applicable,68.gill,TRUE,2,2,subtropical,rock associated,8/13/20,2020,california moray,0.2563,NE,0,0,,0,40,1,1,68.gill,"crustaceans, octopus, fish",fishbase.org,8.5,3,0.477121255,TRUE,9,d,d9,0,Host-associated,Animal,Animal corpus,68gill,gill,marine biome,animal-associated habitat,organic material,host-associated,284,Gymnothorax kidako,clearmag beads KF,9/14/20,PS16L1,0.268,,PG,FMP101_P4_gill_1.88,hook and line,80,68,1,5,quivira point,USA:CA:San Diego,44.8,,2,BE,0,0,shallow,neritic,0,0,1,1,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.25625,UBERON:mucus,UBERON:gill,California moray,CA moray eel,80,cm,Missing: not collected,Gymnothorax mordax,FMP_68,875776,1312,grams,1,32.763155,-117.241393,1312,3.117933835,30,,152,rod and reel,8,68.gill,,,644,288,Eastern Pacific,Actinopterygii,moray eels,Muraenidae,Gymnothorax,Gymnothorax mordax,Anguilliformes,740,SIO,Missing: not collected,,1,,,,1,,,1,,8,13414,,0.10625,0.0625,0.56,oviparous,marine,marine,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Gymnothorax mordax,247,summer,Unknown,,,,,,,,sink,rocky reef (shallow),rock associated,2,2,Anguilliform,burrowing,875776,FMP101,1,80,3,3,TRUE,17501,4.243062865,6841.559881,82098.71857,306338.5021,5.486201584
13414.95.g,1,shallow,BE,92,3.734912274,96.23076923,3.914668955,13.3257281,0.99535473,710,2.851258349,1,84,0.84661284,7,3.37621185,1,240202,2378,Not applicable,95.g,FALSE,1,1,temperate,soft bottom,8/20/20,2020,arrow goby,0.5615,NE,0,0,,0,2,0,1,95.g,"diatoms, green algae, tintinnids, eggs",fishbase.org,1.1,5,0.698970004,TRUE,1,g,g1,0,Host-associated,Animal,Animal corpus,95g,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Gymnogobius urotaenia,clearmag beads KF,9/14/20,PS16L1,0.0099,,,plate5_89-103_gill.skin.mg.hg,hook and line,3.2,95,1,0.4,,USA:CA:San Diego,2,,1,BE,1,0,shallow,intertidal,0,0,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.561523438,UBERON:mucus,UBERON:gill,arrow goby,arrow goby,3.2,cm,Missing: not collected,Clevelandia ios,FMP_95,185732,0.184,grams,1,32.769594,-117.248478,0.184,-0.735182177,3,,6.4,rod and reel,8,95.g,,,7,325,Eastern Pacific,Actinopterygii,gobies,Gobiidae,Clevelandia,Clevelandia ios,Gobiiformes,7,SIO,Missing: not collected,,,,,,,1,,,1,1,13414,,0.34375,0.125,0.625,oviparous,brackish,brackish,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Clevelandia ios_,284,summer,Unknown,,,,,,,,sink,sandy mud bottom,soft bottom,3,1,Esociform,accelerator,185732,FMP101,1,3.2,2,2,FALSE,2426,3.384890797,6.77833304,81.33999648,8216.16126,3.914668955
13414.96.g,1,shallow,BE,13,0.226626651,13,7.115665855,3.439907864,1,1077111,6.032260461,1077,6463,2.731230265,539,3.915135907,1,16450000,8225,Not applicable,96.g,FALSE,3,3,subtropical,soft bottom,8/23/20,2020,california killifish,1.2926,NE,0,0,,0,1,0.3,1,96.g,"gastropods, crustaceans, bivalves, worms, microalgae",fishbase.org,2.2,42,1.62324929,TRUE,1,h,h1,0,Host-associated,Animal,Animal corpus,96g,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Fundulus parvipinnis,clearmag beads KF,9/14/20,PS16L1,0.0005,,,plate5_89-103_gill.skin.mg.hg,hook and line,4.7,96,1,0.3,,USA:CA:San Diego,4.2,"bay estuary, benthopelagic",1,BE,1,0,shallow,intertidal,0,0,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,1.292584495,UBERON:mucus,UBERON:gill,California killifish,CA killifish,4.7,cm,Missing: not collected,Fundulus parvipinnis,FMP_96,28757,1.342,grams,1,32.782075,-117.250127,1.342,0.127752516,3,,10.8,rod and reel,8,96.g,,,8,307,Eastern Pacific,Actinopterygii,topminnows and killisfishes,Fundulidae,Fundulus,Fundulus parvipinnis,Cyprinodontiformes,8,SIO,Missing: not collected,1,1,,1,,1,,,,,1,13414,,0.468085106,0.063829787,0.893617021,oviparous,brackish,brackish,fish gill,g,gill tissue,"gill, fin, skin, MG, HG",Fundulus parvipinnis,266,summer,Unknown,,,,,,,,sink,sandy mud bottom,soft bottom,3,1,Esociform,accelerator,28757,FMP101,1,4.7,2,2,FALSE,8490,3.92890769,543.8192954,6525.831545,13051663.09,7.115665855
13414.A10.gill,1,shallow,BE,189,6.53711192,192.3333333,3.080395734,23.76793189,0.99608802,1335,3.125481266,1,574,1.679820355,48,3.614475366,1,9570,4116,Not applicable,A10.gill,FALSE,1,1,subtropical,pelagic,9/6/20,2020,atlantic needlefish,Missing: not collected,LC,0,0,,0,5,0,2,A10.gill,small fishes,fishbase.org,,3,0.477121255,TRUE,1,h,h1,0,Host-associated,Animal,Animal corpus,A10gill,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Strongylura,columns,12/26/20,PS16L1,0.4301,,,ATLgDNA,hook and line,,111,0,,Great Neck Creek,USA:NY:Long Island,,"coastal areas, mangrove lagoons, reef",2,BE,1,0,shallow,intertidal,0,0,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,1,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,#DIV/0!,UBERON:mucus,UBERON:gill,Atlantic  needlefish,atlantic needlefish,,cm,Missing: not collected,Strongylura marina,FMP_111,129068,,grams,1,40.664722,-73.383187,,#NUM!,,2.3,111,rod and reel,9,A10.gill,,,680,A10,Western Atlantic,Actinopterygii,needlefishes,Belonidae,Strongylura,Strongylura marina,Beloniformes,,SIO,Missing: not collected,,,,,,,,,1,,2,13414,,nan,nan,nan,oviparous,brackish,brackish,fish gill,g,gill tissue,,Strongylura marina,na,summer,Unknown,,,,,,,,sink,surface,rock associated,3,1,Esociform,accelerator,129068,FMP101,1,,3,3,FALSE,4116,3.614475366,43.13044419,517.5653303,1203.360452,3.080395734
13414.A11.gill,1,shallow,BE,1016,6.485348955,1118.905325,6.712741741,80.92235197,0.994719006,5681334,6.754450322,5681,1097634,4.961276215,91469,4.552838494,1,184855,35714,Not applicable,A11.gill,FALSE,3,4,subtropical,soft bottom,9/7/20,2020,oyster toadfish,2.2248,LC,0,0,,0,5,0,1,A11.gill,"crustaceans, mollusks",https://www.jstor.org/stable/44110386,4.3,3,0.477121255,TRUE,2,a,a2,0,Host-associated,Animal,Animal corpus,A11gill,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Opsanus tau,columns,12/26/20,PS16L1,0.1932,,,ATLgDNA,fish trap,15.5,112,0,2.5,Great Neck Creek,USA:NY:Long Island,29.5,"reefs, rocky bottom,s jetties, wrecks",1,BE,0,0,shallow,intertidal,0,0,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,1,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,2.224833003,UBERON:mucus,UBERON:gill,oyster toadfish,oyster toadfish,15.5,cm,Missing: not collected,Opsanus tau,FMP_112,8068,82.85,grams,1,40.664722,-73.383187,82.85,1.918292513,,2.2,43.2,net,9,A11.gill,3 gill arches present,3 gill arches present,681,A11,Western Atlantic,Actinopterygii,toadfishes,Batrachoididae,Opsanus,Opsanus tau,Batrachoidiformes,,SIO,Missing: not collected,,1,,1,,1,,,,,2,13414,,0.277419355,0.161290323,1.903225806,oviparous,brackish,brackish,fish gill,g,gill tissue,"gill, fin",Opsanus tau,na,summer,F,,,,,,,,sink,muddy bottom,rock associated,3,1,Cottiform,accelerator,8068,FMP101,1,15.5,2,2,TRUE,35715,4.552850654,83093.60795,997123.2954,5161093.661,6.712741741
13414.A23.gill,1,shallow,BE,266,6.620232524,284.4285714,4.153677557,30.02222619,0.994203289,1314,3.118595365,1,4753,2.597756982,396,3.876967967,1,24993,7533,Not applicable,A23.gill,FALSE,1,1,temperate,soft bottom,9/29/20,2020,striped bass,0.9941,LC,0,0,,0,30,0,3,A23.gill,"adults: fishes (alewives, herring, smelt, eels, flounder, gunnel, hake) inverts: squid crab worms, amphipods, crustaceans",fishbase.org,18.8,3,0.477121255,TRUE,3,a,a3,0,Host-associated,Animal,Animal corpus,A23gill,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Morone saxatilis,columns,12/26/20,PS16L1,0.3014,,,ATLgDNA,hook and line,54.9,120,0,6.6,Great Neck Creek,USA:NY:Long Island,57.5,"bays, rivers,",2,BE,1,1,shallow,neritic,0,0,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.994081913,UBERON:mucus,UBERON:gill,striped bass,striped bass,57.4,cm,Missing: not collected,Morone saxatilis,FMP_120,34816,1880,grams,1,40.664722,-73.383187,1880,3.274157849,30,57,200,rod and reel,9,A23.gill,large amounts of visceral fat,large amounts of visceral fat,689,A23,Western Atlantic,Actinopterygii,temperate basses,Moronidae,Morone,Morone saxatilis,Perciformes,,SIO,Missing: not collected,,1,,1,1,,,,1,,2,13414,,0.327526132,0.114982578,1.00174216,oviparous,brackish,anadromous,fish gill,g,gill tissue,"gill, fin",Morone saxatilis,na,fall,Unknown,,,,,,,,sink,muddy bottom,soft bottom,2,2,Carangiform,crusier sprinter,34816,FMP101,1,57.4,4,4,FALSE,7533,3.876967967,357.7993592,4293.592311,14245.49539,4.153677557
13414.A4.gill,1,shallow,BE,575,7.694091508,670.25,6.40845921,45.22162759,0.991386327,2816003,6.449633113,2816,71808,3.776992036,5984,4.214181309,1,642157,16375,Not applicable,A4.gill,FALSE,3,4,subtropical,soft bottom,9/5/20,2020,silver perch,1.2772,LC,0,0,,0,40,5,1,A4.gill,"crustaceans, worms, fishes",fishbase.org,3.2,3,0.477121255,TRUE,1,d,d1,0,Host-associated,Animal,Animal corpus,A4gill,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Bairdiella chrysoura,columns,12/26/20,PS16L1,0.0255,,,ATLgDNA,fish trap,11,107,0,1.6,Great Neck Creek,USA:NY:Long Island,8.3,"sandy, muddy bottom, estuaries, some fw",2,BE,1,0,shallow,neritic,0,0,1,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,1.277235162,UBERON:mucus,UBERON:gill,silver perch,silver perch,11,cm,Missing: not collected,Bairdiella chrysoura,FMP_107,331523,17,grams,1,40.664722,-73.383187,17,1.230448921,,,30,net,9,A4.gill,,,676,A4,Western Atlantic,Actinopterygii,drums or croakers,Sciaenidae,Bairdiella,Bairdiella chrysoura,Perciformes,,SIO,Missing: not collected,1,1,,,,,,,1,,2,13414,,0.290909091,0.145454545,0.754545455,oviparous,brackish,brackish,fish gill,g,gill tissue,"gill, fin",Bairdiella chrysoura,na,summer,M,,,,,,,,sink,muddy bottom,soft bottom,2,2,Subcarangiform,generalist,331523,FMP101,1,11,3,3,FALSE,16394,4.214684931,5442.746966,65312.9636,2561292.69,6.40845921
13414.A5.gill,1,shallow,BE,106,5.094404707,116,3.46411638,12.75992875,0.990592662,3237,3.510142699,3,57,0.676488721,5,3.32756326,1,120795,2126,Not applicable,A5.gill,FALSE,1,2,temperate,soft bottom,9/6/20,2020,mummichog,1.4898,LC,0,0,,0,1,0,0.5,A5.gill,"plant detritus, mites, nematodes, worms, copepods","https://link.springer.com/article/10.1007/BF02696024, https://www.sciencedirect.com/science/article/abs/pii/0022098178901259",4.5,3,0.477121255,TRUE,1,e,e1,0,Host-associated,Animal,Animal corpus,A5gill,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Fundulus heteroclitus,columns,12/26/20,PS16L1,0.0176,,,ATLgDNA,fish trap,8.4,108,0,0.9,Great Neck Creek,USA:NY:Long Island,12.7,"saltwater marshes, creeks, fw, intertidal ",2,BE,1,0,shallow,intertidal,0,0,0,0,0,0,0,0,https://link.springer.com/content/pdf/10.2307/1352619.pdf,1,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,1.489782421,UBERON:mucus,UBERON:gill,mummichog,mummichog,8.4,cm,Missing: not collected,Fundulus heteroclitus,FMP_108,8078,8.83,grams,1,40.664722,-73.383187,8.83,0.945960704,4,,15,net,9,A5.gill,,,677,A5,Western Atlantic,Actinopterygii,topminnows and killisfishes,Fundulidae,Fundulus,Fundulus heteroclitus,Cyprinodontiformes,,SIO,Missing: not collected,1,1,,1,,1,1,,,1,2,13414,,0.535714286,0.107142857,1.511904762,oviparous,brackish,brackish,fish gill,g,gill tissue,"gill, fin",Fundulus heteroclitus,na,summer,F,,,,,,,,sink,muddy bottom,soft bottom,3,1,Esociform,accelerator,8078,FMP101,1,8.4,2,2,FALSE,2126,3.32756326,4.270195926,51.24235111,2911.497222,3.46411638
13414.A8.gill,1,shallow,BE,111,2.657852945,118.7727273,4.846233962,12.68374349,0.998265157,6465,3.810568529,6,17868,3.17288828,1489,4.041432165,1,47768,11001,Not applicable,A8.gill,FALSE,1,2,subtropical,pelagic,9/15/20,2020,atlantic menhaden,0.9683,LC,0,0,,0,50,0,2,A8.gill,"phytoplankton (diatoms), zooplankon, crustaceans, annelid worms, detritutes",fishbase.org,6.2,3,0.477121255,TRUE,1,f,f1,0,Host-associated,Animal,Animal corpus,A8gill,gill,marine biome,animal-associated habitat,organic material,host-associated,224,Brevoortia tyrannus,columns,12/26/20,PS16L1,0.2303,,,ATLgDNA,cast net,13.8,109,0,2.7,Great Neck Creek,USA:NY:Long Island,60.8,"continental shelf, river, bay ",1,BE,1,0,shallow,neritic,0,0,0,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,0.968261719,UBERON:mucus,UBERON:gill,atlantic  menhaden (juvenile),atlantic menhaden (juvenile),16,cm,Missing: not collected,Brevoortia tyrannus,FMP_109,224708,39.66,grams,1,40.664722,-73.383187,39.66,1.59835271,,,50,net,9,A8.gill,,,678,A8,Western Atlantic,Actinopterygii,"herrings, shads, sardines, menhadens",Clupeidae,Brevoortia,Brevoortia tyrannus,Clupeiformes,,SIO,Missing: not collected,,,,,,,1,,,1,2,13414,,0.3875,0.16875,3.8,oviparous,brackish,brackish,fish gill,g,gill tissue,"gill, fin",Brevoortia tyrannus,na,summer,Unknown,,,,,,,,sink,surface,soft bottom,2,2,Carangiform,crusier sprinter,224708,FMP101,1,16,2,2,FALSE,11001,4.041432165,1346.93505,16163.2206,70183.32869,4.846233962
13414.A9.gill,1,shallow,BE,330,7.054075827,347.9047619,5.522977183,30.87246124,0.991498406,369407,5.567505121,369,1847,2.187294303,154,3.759592309,1,1149800,5749,Not applicable,A9.gill,FALSE,2,3,subtropical,soft bottom,9/6/20,2020,striped blenny,1.3992,LC,0,0,,0,30,1,1,A9.gill,zooplantkton,https://www.int-res.com/abstracts/meps/v179/p145-153/,1.4,3,0.477121255,TRUE,1,g,g1,0,Host-associated,Animal,Animal corpus,A9gill,gill,marine biome,animal-associated habitat,organic material,host-associated,116,Lipophrys pholis,columns,12/26/20,PS16L1,0.005,,,ATLgDNA,fish trap,7.4,110,0,1.2,Great Neck Creek,USA:NY:Long Island,9.7,"oyster beds, hard bottom",1,BE,0,0,shallow,neritic,0,0,1,0,0,0,0,0,The ecology of marine fishes of california and adjacent waters 2006,0,0,0,0,Missing: not collected,Missing: not collected,UBERON:respiratory system,1.399226107,UBERON:mucus,UBERON:gill,striped blenny,striped blenny,7.4,cm,Missing: not collected,Chasmodes bosquianus,FMP_110,521180,5.67,grams,1,40.664722,-73.383187,5.67,0.753583059,,,15,net,9,A9.gill,,,679,A9,Western Atlantic,Actinopterygii,combtooth blennies,Blenniidae,Chasmodes,Chasmodes bosquianus,Blenniiformes,,SIO,Missing: not collected,,,,,,,,,,1,2,13414,,0.189189189,0.162162162,1.310810811,oviparous,brackish,brackish,fish gill,g,gill tissue,"gill, fin",Chasmodes bosquianus,na,summer,M,,,,,,,,sink,muddy bottom,soft bottom,3,1,Cottiform,accelerator,521180,FMP101,1,7.4,2,2,TRUE,5749,3.759592309,138.9203732,1667.044478,333408.8956,5.522977183
